method,run,target,iteration,train_rmse
XGBBaseline,1,Thickness,1,2272.932710232308
XGBBaseline,1,Thickness,49,828.4378050111987
XGBBaseline,1,Thickness,97,423.54596757247083
XGBBaseline,1,Thickness,146,284.2137340565446
XGBBaseline,1,Thickness,194,233.6928882315498
XGBBaseline,1,Thickness,242,206.30959594754808
XGBBaseline,1,Thickness,290,190.01685284018313
XGBBaseline,1,Thickness,339,180.79853777572663
XGBBaseline,1,Thickness,387,173.7854219211746
XGBBaseline,1,Thickness,435,169.51932049243797
XGBBaseline,1,Thickness,483,166.64707535542874
XGBBaseline,1,Thickness,532,164.6856729065741
XGBBaseline,1,Thickness,580,162.90820395913377
XGBBaseline,1,Thickness,628,161.55981057485522
XGBBaseline,1,Thickness,676,160.63872751764907
XGBBaseline,1,Thickness,725,159.93963341490402
XGBBaseline,1,Thickness,773,159.4191920839074
XGBBaseline,1,Thickness,821,158.9809928729964
XGBBaseline,1,Thickness,869,158.69360793843197
XGBBaseline,1,Thickness,917,158.41953774088825
XGBBaseline,1,Thickness,966,158.36017084178553
XGBBaseline,1,Thickness,1014,158.1088409339419
XGBBaseline,1,Thickness,1062,158.06245599815693
XGBBaseline,1,Thickness,1110,157.9249837950282
XGBBaseline,1,Thickness,1159,157.85180052743974
XGBBaseline,1,MAX,7,2080.9155777171886
XGBBaseline,1,MAX,55,766.0905025433417
XGBBaseline,1,MAX,103,401.35183192804976
XGBBaseline,1,MAX,152,279.77364785812057
XGBBaseline,1,MAX,200,234.67516283938286
XGBBaseline,1,MAX,248,209.98301278237494
XGBBaseline,1,MAX,296,194.1804144575917
XGBBaseline,1,MAX,345,184.44088211386665
XGBBaseline,1,MAX,393,177.72556538212427
XGBBaseline,1,MAX,441,173.32909334965257
XGBBaseline,1,MAX,489,169.96552616532668
XGBBaseline,1,MAX,538,168.0046155081398
XGBBaseline,1,MAX,586,166.3539430503009
XGBBaseline,1,MAX,634,165.18541495068985
XGBBaseline,1,MAX,682,164.31597686616357
XGBBaseline,1,MAX,730,163.70931663343748
XGBBaseline,1,MAX,779,163.18290454778278
XGBBaseline,1,MAX,827,162.84398732744688
XGBBaseline,1,MAX,875,162.6205407639371
XGBBaseline,1,MAX,923,162.82703074914977
XGBBaseline,1,MAX,972,162.17854973210424
XGBBaseline,1,MAX,1020,162.0953902911107
XGBBaseline,1,MAX,1068,161.98894689707495
XGBBaseline,1,MAX,1116,161.8614461153415
XGBBaseline,1,MAX,1165,161.84592876534762
XGBBaseline,1,MIN,13,1658.4848716637275
XGBBaseline,1,MIN,61,664.4185285204785
XGBBaseline,1,MIN,109,374.22817081937274
XGBBaseline,1,MIN,158,268.82298336561036
XGBBaseline,1,MIN,206,228.5944405599585
XGBBaseline,1,MIN,254,204.7030396550285
XGBBaseline,1,MIN,302,189.81460653832502
XGBBaseline,1,MIN,350,178.99716909151778
XGBBaseline,1,MIN,399,172.1239102702388
XGBBaseline,1,MIN,447,166.9778276970053
XGBBaseline,1,MIN,495,163.8589135889378
XGBBaseline,1,MIN,543,161.50571194166534
XGBBaseline,1,MIN,592,159.51479948389303
XGBBaseline,1,MIN,640,158.17704674224953
XGBBaseline,1,MIN,688,157.16183106140022
