method,run,epoch,stage,total_loss,data_thickness_group_loss,data_range_loss,data_rate_loss,data_uniformity_loss,data_ri_loss,data_stress_loss,phys_ht_loss,phys_maxmin_loss,phys_uniformity_def_loss,phys_mono_t_loss,phys_nonneg_h_loss,phys_nonneg_r_loss,phys_species_loss,phys_surface_loss,phys_profile_loss,phys_property_loss,phys_gas_loss,phys_flux_loss,phys_surface_pde_loss,phys_field_consistency_loss,phys_h_pde_loss,phys_rate_species_mono_loss,phys_axis_bc_loss,phys_inlet_bc_loss,train_thk_rmse,val_thk_rmse,val_score
PINN20260511,1,1,pretrain,45.50545883178711,14.285970687866211,2.264070987701416,7.423835277557373,1.537274718284607,0.0027385547291487455,5.696117401123047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5020.887770106,4132.198930351732,7742.079923471111
PINN20260511,1,3,pretrain,45.49378204345703,14.285097122192383,2.263775587081909,7.42318868637085,1.0980615615844727,0.002757155103608966,5.6843647956848145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5020.93019270334,4132.24733044865,7742.165315143401
PINN20260511,1,4,pretrain,45.49602127075195,14.28528881072998,2.2636756896972656,7.4233503341674805,1.1826175451278687,0.002766707679256797,5.677655220031738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5020.902110179007,4132.221436467315,7742.118853582523
PINN20260511,1,6,pretrain,45.48805236816406,14.284775733947754,2.263725996017456,7.4229912757873535,0.8630221486091614,0.0027768625877797604,5.675942420959473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5020.772251357354,4132.090270069133,7741.883584143633
PINN20260511,1,8,pretrain,45.4880485534668,14.284147262573242,2.2637431621551514,7.422554969787598,0.9613749980926514,0.0027907504700124264,5.674456596374512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5020.711702537798,4132.028799512414,7741.773088161168
PINN20260511,1,9,pretrain,45.485198974609375,14.284045219421387,2.263676881790161,7.422504425048828,0.8362208008766174,0.002800633665174246,5.671230316162109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5020.705129760161,4132.023475247933,7741.763267122407
PINN20260511,1,11,pretrain,45.48430252075195,14.283937454223633,2.263517379760742,7.422489166259766,0.8115631341934204,0.002823042916134,5.663951873779297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5020.654140647412,4131.972410362877,7741.671264436364
PINN20260511,1,13,pretrain,45.481163024902344,14.283388137817383,2.26348876953125,7.422138214111328,0.7412554621696472,0.0028467571828514338,5.660484790802002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5020.53084842629,4131.84486640048,7741.44223013266
PINN20260511,1,14,pretrain,45.48002243041992,14.28302001953125,2.2634997367858887,7.421888828277588,0.7417001724243164,0.00285911513492465,5.65953254699707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5020.471093433364,4131.784360297618,7741.333662601891
PINN20260511,1,16,pretrain,45.478614807128906,14.282402038574219,2.263451099395752,7.421491622924805,0.7692226767539978,0.002887042472139001,5.65607213973999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5020.38046367006,4131.6969879215485,7741.176338688199
