method,run,run_started_at,runtime_seconds,target,mae,rmse,r2
PINN20260512-HS,1,2026-05-12T09:37:41,6.825848,thickness,164.93983459472656,284.29064682996517,0.9588181376457214
PINN20260512-HS,1,2026-05-12T09:37:41,6.825848,max_thickness,175.15423583984375,307.05919879153595,0.9542742371559143
PINN20260512-HS,1,2026-05-12T09:37:41,6.825848,min_thickness,157.6660614013672,238.3720503225997,0.9696876406669617
PINN20260512-HS,1,2026-05-12T09:37:41,6.825848,deposition_rate,171.16822814941406,229.34180618129787,0.986580491065979
PINN20260512-HS,1,2026-05-12T09:37:41,6.825848,uniformity_range,0.38824740052223206,0.5436744769034525,-0.21357595920562744
PINN20260512-HS,1,2026-05-12T09:37:41,6.825848,uniformity_1sigma,0.2431735098361969,0.33370813021393886,-0.3942430019378662
PINN20260512-HS,1,2026-05-12T09:37:41,6.825848,ri,0.002162906341254711,0.0030646415785692133,-0.48544394969940186
PINN20260512-HS,1,2026-05-12T09:37:41,6.825848,stress,45.42812728881836,65.72950013121962,-0.9217020273208618
PINN20260512-HS,2,2026-05-12T09:38:22,3.89134,thickness,342.9607849121094,502.72397060912067,0.9576996564865112
PINN20260512-HS,2,2026-05-12T09:38:22,3.89134,max_thickness,478.7457275390625,810.0066743552179,0.9038951396942139
PINN20260512-HS,2,2026-05-12T09:38:22,3.89134,min_thickness,352.8591613769531,531.1279271512655,0.949758768081665
PINN20260512-HS,2,2026-05-12T09:38:22,3.89134,deposition_rate,296.4682922363281,434.9191555622723,0.9724151492118835
PINN20260512-HS,2,2026-05-12T09:38:22,3.89134,uniformity_range,0.46278735995292664,0.9220645192486902,0.5016777515411377
PINN20260512-HS,2,2026-05-12T09:38:22,3.89134,uniformity_1sigma,0.2887132167816162,0.5017792218645974,0.4853250980377197
PINN20260512-HS,2,2026-05-12T09:38:22,3.89134,ri,0.0021446780301630497,0.0033336895364306242,0.1667737364768982
PINN20260512-HS,2,2026-05-12T09:38:22,3.89134,stress,49.4757080078125,64.53762453382329,0.013269543647766113
PINN20260512-HS,3,2026-05-12T09:38:51,1.768546,thickness,225.0364532470703,484.27156960222226,0.9462838172912598
PINN20260512-HS,3,2026-05-12T09:38:51,1.768546,max_thickness,255.5917205810547,520.5904700433922,0.9414387941360474
PINN20260512-HS,3,2026-05-12T09:38:51,1.768546,min_thickness,233.2649383544922,484.80029715853107,0.9424538016319275
PINN20260512-HS,3,2026-05-12T09:38:51,1.768546,deposition_rate,804.7376098632812,1094.18599881373,0.7219104170799255
PINN20260512-HS,3,2026-05-12T09:38:51,1.768546,uniformity_range,0.6420784592628479,0.8319580690679588,0.03721284866333008
PINN20260512-HS,3,2026-05-12T09:38:51,1.768546,uniformity_1sigma,0.34085866808891296,0.44908564710324805,0.06707900762557983
PINN20260512-HS,3,2026-05-12T09:38:51,1.768546,ri,0.003923723939806223,0.005806034403571859,0.07628738880157471
PINN20260512-HS,3,2026-05-12T09:38:51,1.768546,stress,59.967315673828125,82.68653155139596,0.38539719581604004
PINN20260512-HS,4,2026-05-12T09:39:30,3.014263,thickness,311.76373291015625,504.1128190940992,0.9672814607620239
PINN20260512-HS,4,2026-05-12T09:39:30,3.014263,max_thickness,333.999267578125,535.9617232135146,0.964261531829834
PINN20260512-HS,4,2026-05-12T09:39:30,3.014263,min_thickness,285.6544494628906,473.25683434050904,0.9698917865753174
PINN20260512-HS,4,2026-05-12T09:39:30,3.014263,deposition_rate,502.5965270996094,723.2537158563376,0.8585413694381714
PINN20260512-HS,4,2026-05-12T09:39:30,3.014263,uniformity_range,0.4691988527774811,0.7098841566626097,-0.5978813171386719
PINN20260512-HS,4,2026-05-12T09:39:30,3.014263,uniformity_1sigma,0.2435007393360138,0.35241289073643833,-0.010213255882263184
PINN20260512-HS,4,2026-05-12T09:39:30,3.014263,ri,0.0024508407805114985,0.0039059420693366423,0.6144293546676636
PINN20260512-HS,4,2026-05-12T09:39:30,3.014263,stress,32.336700439453125,47.608669895500654,0.7237522602081299
PINN20260512-HS,5,2026-05-12T09:40:10,2.516924,thickness,462.982421875,811.5631521945782,0.7162079215049744
PINN20260512-HS,5,2026-05-12T09:40:10,2.516924,max_thickness,474.88873291015625,843.8397730019603,0.720147430896759
PINN20260512-HS,5,2026-05-12T09:40:10,2.516924,min_thickness,467.3736877441406,816.3125933121454,0.6768538355827332
PINN20260512-HS,5,2026-05-12T09:40:10,2.516924,deposition_rate,659.558837890625,1196.0859082858556,0.8351381421089172
PINN20260512-HS,5,2026-05-12T09:40:10,2.516924,uniformity_range,0.4129642844200134,0.5910303168226164,0.7831318378448486
PINN20260512-HS,5,2026-05-12T09:40:10,2.516924,uniformity_1sigma,0.2872048020362854,0.3928716520627403,0.6724274158477783
PINN20260512-HS,5,2026-05-12T09:40:10,2.516924,ri,0.004048903938382864,0.005374687114460481,0.3672809600830078
PINN20260512-HS,5,2026-05-12T09:40:10,2.516924,stress,59.26608657836914,82.72620798925362,0.1329866647720337
PINN20260512-HS,6,2026-05-12T09:40:35,2.745453,thickness,437.3256530761719,802.7300682670358,0.8298436999320984
PINN20260512-HS,6,2026-05-12T09:40:35,2.745453,max_thickness,558.5706176757812,1019.749203235776,0.7767543792724609
PINN20260512-HS,6,2026-05-12T09:40:35,2.745453,min_thickness,420.7270202636719,780.2720679352811,0.8220232725143433
PINN20260512-HS,6,2026-05-12T09:40:35,2.745453,deposition_rate,359.4510803222656,543.3009927747233,0.9427247047424316
PINN20260512-HS,6,2026-05-12T09:40:35,2.745453,uniformity_range,0.41117337346076965,0.8760380718022878,0.47294437885284424
PINN20260512-HS,6,2026-05-12T09:40:35,2.745453,uniformity_1sigma,0.22363635897636414,0.45195322786822917,0.5025845766067505
PINN20260512-HS,6,2026-05-12T09:40:35,2.745453,ri,0.00301821855828166,0.004970325470730457,0.29814058542251587
PINN20260512-HS,6,2026-05-12T09:40:35,2.745453,stress,42.825504302978516,68.43466032921475,0.3852853775024414
PINN20260512-HS,7,2026-05-12T09:41:11,3.924912,thickness,217.17880249023438,319.8900567968626,0.973814070224762
PINN20260512-HS,7,2026-05-12T09:41:11,3.924912,max_thickness,236.82818603515625,328.28189106315324,0.9742499589920044
PINN20260512-HS,7,2026-05-12T09:41:11,3.924912,min_thickness,219.94081115722656,385.72354899590977,0.9587917327880859
PINN20260512-HS,7,2026-05-12T09:41:11,3.924912,deposition_rate,765.1671752929688,994.2199832029127,0.7572487592697144
PINN20260512-HS,7,2026-05-12T09:41:11,3.924912,uniformity_range,0.4790661931037903,0.929167722407769,0.06582468748092651
PINN20260512-HS,7,2026-05-12T09:41:11,3.924912,uniformity_1sigma,0.2643577754497528,0.4779343168707137,0.07115882635116577
PINN20260512-HS,7,2026-05-12T09:41:11,3.924912,ri,0.0033614635467529297,0.00449021021524615,0.40959644317626953
PINN20260512-HS,7,2026-05-12T09:41:11,3.924912,stress,41.85533142089844,61.96892531808281,0.6378486156463623
PINN20260512-HS,8,2026-05-12T09:41:36,2.02536,thickness,415.9067077636719,665.5614875802235,0.8592914342880249
